date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:27	351891/351891	---M--	200	added ('OK')	image/jpeg	etag:%2219246ad-55e93-5aa60844%22	http://ds-bluewhale.co.kr/website/sub/floor9.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/floor9.jpg	(from http://ds-bluewhale.co.kr/website/floor.htm)
17:51:47	330804/330804	---M--	200	added ('OK')	image/jpeg	etag:%2219246ae-50c34-5aa60844%22	http://ds-bluewhale.co.kr/website/sub/floor10.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/floor10.jpg	(from http://ds-bluewhale.co.kr/website/floor.htm)
17:53:08	807341/807341	---M--	200	added ('OK')	image/jpeg	etag:%2219246c3-c51ad-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:53:14	778697/778697	---M--	200	added ('OK')	image/jpeg	etag:%2219246e8-be1c9-5aa5e562%22	http://ds-bluewhale.co.kr/website/sub/unit2.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit2.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:53:22	709147/709147	---M--	200	added ('OK')	image/jpeg	etag:%2219246e9-ad21b-5aa5e562%22	http://ds-bluewhale.co.kr/website/sub/unit3.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit3.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:53:45	735095/735095	---M--	200	added ('OK')	image/jpeg	etag:%2219245a1-b3777-5aa5e560%22	http://ds-bluewhale.co.kr/website/sub/unit4.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit4.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:55:05	724230/724230	---M--	200	added ('OK')	image/jpeg	etag:%2219245a2-b0d06-5aa5e560%22	http://ds-bluewhale.co.kr/website/sub/unit5.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit5.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:55:13	735545/735545	---M--	200	added ('OK')	image/jpeg	etag:%2219245a3-b3939-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit6.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit6.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:55:19	729542/729542	---M--	200	added ('OK')	image/jpeg	etag:%2219245a4-b21c6-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit7.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit7.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:55:21	1257/1257	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:55:18%20GMT	http://ds-bluewhale.co.kr/vr/100/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/100/index.html	(from http://ds-bluewhale.co.kr/website/vr.htm)
